date,amount,account_id,previous_amount_1,previous_amount_2,previous_amount_3,previous_amount_4,previous_amount_5,previous_amount_6,previous_amount_7,previous_amount_8,previous_amount_9,previous_amount_10,previous_amount_11,previous_amount_12
2018-02-19,90.6,2,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5
2018-02-26,2170.39,2,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36
2018-03-05,2542.9299999999994,2,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1
2018-03-12,1647.05,2,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29
2018-03-19,1077.1,2,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44
2018-03-26,321.43,2,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5,547.67
2018-04-02,236.78,2,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52,1528.5
2018-04-09,418.13,2,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57,1305.52
2018-04-16,144.06,2,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73,1569.57
2018-04-23,44.62,2,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19,86.73
2018-04-30,54.9,2,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99,1159.19
2018-05-07,486.9,2,54.9,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6,10.99
2018-05-14,0.0,2,486.9,54.9,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39,90.6
2018-05-21,75.5,2,0.0,486.9,54.9,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994,2170.39
2018-05-28,1629.02,2,75.5,0.0,486.9,54.9,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05,2542.9299999999994
2018-06-04,238.23,2,1629.02,75.5,0.0,486.9,54.9,44.62,144.06,418.13,236.78,321.43,1077.1,1647.05
2018-06-11,126.9,2,238.23,1629.02,75.5,0.0,486.9,54.9,44.62,144.06,418.13,236.78,321.43,1077.1
2018-06-18,123.42999999999999,2,126.9,238.23,1629.02,75.5,0.0,486.9,54.9,44.62,144.06,418.13,236.78,321.43
2018-06-25,392.5,2,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9,54.9,44.62,144.06,418.13,236.78
2018-07-02,255.95000000000002,2,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9,54.9,44.62,144.06,418.13
2018-07-09,113.56,2,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9,54.9,44.62,144.06
2018-07-16,234.78,2,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9,54.9,44.62
2018-07-23,75.5,2,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9,54.9
2018-07-30,224.7,2,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0,486.9
2018-08-06,114.55000000000001,2,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5,0.0
2018-08-13,163.85000000000002,2,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02,75.5
2018-08-20,222.63,2,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23,1629.02
2018-08-27,294.32000000000005,2,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9,238.23
2018-09-03,243.7,2,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999,126.9
2018-09-10,94.78999999999999,2,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5,123.42999999999999
2018-09-17,257.14,2,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002,392.5
2018-09-24,579.22,2,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56,255.95000000000002
2018-10-01,62.3,2,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78,113.56
2018-10-08,378.21999999999997,2,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5,234.78
2018-10-15,55.49,2,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7,75.5
2018-10-22,12.780000000000001,2,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001,224.7
2018-10-29,19.68,2,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002,114.55000000000001
2018-11-05,54.349999999999994,2,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63,163.85000000000002
2018-11-12,117.50000000000001,2,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005,222.63
2018-11-19,0.0,2,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7,294.32000000000005
2018-11-26,355.59999999999997,2,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999,243.7
2018-12-03,56.9,2,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14,94.78999999999999
2018-12-10,22.3,2,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22,257.14
2018-12-17,51.4,2,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3,579.22
2018-12-24,2054.0,2,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997,62.3
2018-12-31,72.89,2,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49,378.21999999999997
2019-01-07,74.96000000000001,2,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001,55.49
2019-01-14,15.2,2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68,12.780000000000001
2019-01-21,82.4,2,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994,19.68
2019-01-28,280.76,2,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001,54.349999999999994
2019-02-04,389.45000000000005,2,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0,117.50000000000001
2019-02-11,771.14,2,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997,0.0
2019-02-18,305.84999999999997,2,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9,355.59999999999997
2019-02-25,583.51,2,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3,56.9
2019-03-04,169.56,2,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4,22.3
2019-03-11,305.0,2,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0,51.4
2019-03-18,196.32,2,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89,2054.0
2019-03-25,29.4,2,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001,72.89
2019-04-01,55.63,2,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2,74.96000000000001
2019-04-08,98.0,2,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4,15.2
2019-04-15,292.17,2,98.0,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76,82.4
2019-04-22,285.47,2,292.17,98.0,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005,280.76
2019-04-29,768.65,2,285.47,292.17,98.0,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14,389.45000000000005
2019-05-06,2110.37,2,768.65,285.47,292.17,98.0,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997,771.14
2019-05-13,1271.4500000000003,2,2110.37,768.65,285.47,292.17,98.0,55.63,29.4,196.32,305.0,169.56,583.51,305.84999999999997
2019-05-20,344.40999999999997,2,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63,29.4,196.32,305.0,169.56,583.51
2019-05-27,153.94,2,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63,29.4,196.32,305.0,169.56
2019-06-03,36.67,2,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63,29.4,196.32,305.0
2019-06-10,0.0,2,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63,29.4,196.32
2019-06-17,104.69999999999999,2,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63,29.4
2019-06-24,131.3,2,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0,55.63
2019-07-01,116.70999999999998,2,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17,98.0
2019-07-08,33.49,2,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47,292.17
2019-07-15,107.57,2,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65,285.47
2019-07-22,498.68,2,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37,768.65
2019-07-29,14.9,2,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003,2110.37
2019-08-05,198.02,2,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997,1271.4500000000003
2019-08-12,352.4999999999999,2,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94,344.40999999999997
2019-08-19,83.97999999999999,2,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67,153.94
2019-08-26,1606.56,2,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0,36.67
2019-09-02,79.97999999999999,2,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999,0.0
2019-09-09,33.47,2,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3,104.69999999999999
2019-09-16,0.0,2,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998,131.3
2019-09-23,0.0,2,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49,116.70999999999998
2019-09-30,64.9,2,0.0,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57,33.49
2019-10-07,0.0,2,64.9,0.0,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68,107.57
2019-10-14,0.0,2,0.0,64.9,0.0,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9,498.68
2019-10-21,0.0,2,0.0,0.0,64.9,0.0,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02,14.9
2019-10-28,14.9,2,0.0,0.0,0.0,64.9,0.0,0.0,33.47,79.97999999999999,1606.56,83.97999999999999,352.4999999999999,198.02
2020-01-13,406.0,2,73.85,0.0,78.74000000000001,0.0,60.0,44.7,56.86,11.2,0.0,0.0,14.9,0.0
2020-01-20,1500.0,2,406.0,73.85,0.0,78.74000000000001,0.0,60.0,44.7,56.86,11.2,0.0,0.0,14.9
2019-08-12,523.95,3,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25,0.0,0.0,0.0,0.0,0.0
2019-08-19,613.4800000000001,3,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25,0.0,0.0,0.0,0.0
2019-08-26,108.53999999999999,3,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25,0.0,0.0,0.0
2019-09-02,65.59,3,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25,0.0,0.0
2019-09-09,0.0,3,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25,0.0
2019-09-16,548.2499999999999,3,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996,39.25
2019-09-23,308.48,3,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68,45.519999999999996
2019-09-30,91.17,3,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22,178.68
2019-10-07,533.8900000000001,3,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28,171.22
2019-10-14,338.44000000000005,3,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28,138.28
2019-10-21,45.769999999999996,3,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0,16.28
2019-10-28,49.980000000000004,3,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95,20.0
2019-11-04,337.22999999999996,3,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001,523.95
2019-11-11,507.4699999999999,3,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999,613.4800000000001
2019-11-18,1137.8600000000001,3,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59,108.53999999999999
2019-11-25,344.96000000000004,3,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0,65.59
2019-12-02,180.85,3,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999,0.0
2019-12-09,698.9900000000001,3,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48,548.2499999999999
2019-12-16,85.42,3,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17,308.48
2019-12-23,39.37,3,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001,91.17
2019-12-30,31.33,3,39.37,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005,533.8900000000001
2020-01-06,153.05,3,31.33,39.37,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996,338.44000000000005
2020-01-13,301.96999999999997,3,153.05,31.33,39.37,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004,45.769999999999996
2020-01-20,250.70000000000002,3,301.96999999999997,153.05,31.33,39.37,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996,49.980000000000004
2020-01-27,0.7,3,250.70000000000002,301.96999999999997,153.05,31.33,39.37,85.42,698.9900000000001,180.85,344.96000000000004,1137.8600000000001,507.4699999999999,337.22999999999996
2019-02-18,78.03999999999999,5,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0,96.5,0.0,0.0,0.0,0.0
2019-02-25,41.28999999999999,5,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0,96.5,0.0,0.0,0.0
2019-03-04,1329.0,5,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0,96.5,0.0,0.0
2019-03-11,270.06,5,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0,96.5,0.0
2019-03-18,3023.99,5,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0,96.5
2019-03-25,12.6,5,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44,54.0
2019-04-01,3997.15,5,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0,222.44
2019-04-08,1184.53,5,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6,0.0
2019-04-15,967.99,5,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0,12.6
2019-04-22,12.6,5,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997,349.0
2019-04-29,321.5,5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39,213.87999999999997
2019-05-06,146.92000000000002,5,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999,54.39
2019-05-13,3000.0,5,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999,78.03999999999999
2019-05-20,4418.959999999999,5,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0,41.28999999999999
2019-05-27,14.6,5,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06,1329.0
2019-06-03,103.55000000000001,5,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99,270.06
2019-06-10,137.95999999999998,5,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6,3023.99
2019-06-17,0.0,5,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15,12.6
2019-06-24,4012.6,5,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53,3997.15
2019-07-01,60.0,5,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99,1184.53
2019-07-08,231.16000000000003,5,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6,967.99
2019-07-15,2448.49,5,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5,12.6
2019-07-22,75.0,5,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002,321.5
2019-07-29,35.5,5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0,146.92000000000002
2019-08-05,1865.1999999999998,5,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999,3000.0
2019-08-12,82.01,5,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6,4418.959999999999
2019-08-19,12.6,5,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001,14.6
2019-08-26,0.0,5,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998,103.55000000000001
2019-09-02,2325.6,5,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0,137.95999999999998
2019-09-09,98.58999999999999,5,2325.6,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6,0.0
2019-09-16,71.83,5,98.58999999999999,2325.6,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0,4012.6
2019-09-23,3172.6,5,71.83,98.58999999999999,2325.6,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003,60.0
2019-09-30,622.8,5,3172.6,71.83,98.58999999999999,2325.6,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49,231.16000000000003
2019-10-07,1406.1999999999998,5,622.8,3172.6,71.83,98.58999999999999,2325.6,0.0,12.6,82.01,1865.1999999999998,35.5,75.0,2448.49
